nl,ml
monday august 15 1977,1977/8/15
october 12 1983,1983/10/12
sunday march 21 1999,1999/3/21
monday november 12 2007,2007/11/12
19-Mar-70,1970/3/19
june 6 1984,1984/6/6
april 29 2007,2007/4/29
1/18/92,1992/1/18
saturday december 20 1980,1980/12/20
6-May-06,2006/5/6
friday october 7 1983,1983/10/7
24-Mar-03,2003/3/24
friday july 2 2010,2010/7/2
june 20 2006,2006/6/20
july 1 2000,2000/7/1
june 19 1974,1974/6/19
10.12.74,1974/12/10
15-Jul-07,2007/7/15
december 17 1996,1996/12/17
friday may 21 1971,1971/5/21
saturday november 5 1983,1983/11/5
4-Mar-83,1983/3/4
may 1 1987,1987/5/1
25-Jan-15,2015/1/25
04.04.10,2010/4/4
may 18 1973,1973/5/18
saturday november 11 1995,1995/11/11
wednesday march 16 1977,1977/3/16
aug 12 1985,1985/8/12
tuesday august 29 1972,1972/8/29
thursday july 13 2006,2006/7/13
19 05 10,2010/5/19
august 5 1976,1976/8/5
15-Jul-16,2016/7/15
august 19 1992,1992/8/19
jan 11 1973,1973/1/11
sunday november 7 1993,1993/11/7
monday september 21 1970,1970/9/21
may 13 2016,2016/5/13
tuesday november 6 2001,2001/11/6
sunday october 6 1985,1985/10/6
wednesday april 18 2012,2012/4/18
10-Sep-74,1974/9/10
friday june 16 2000,2000/6/16
9-Jul-09,2009/7/9
29-Nov-94,1994/11/29
tuesday october 31 2006,2006/10/31
saturday may 19 2012,2012/5/19
21-Dec-07,2007/12/21
26-Dec-91,1991/12/26
31-Aug-78,1978/8/31
11-Jan-95,1995/1/11
wednesday march 8 2017,2017/3/8
11/25/88,1988/11/25
oct 27 1974,1974/10/27
monday january 14 1985,1985/1/14
27-Jul-74,1974/7/27
wednesday october 22 1997,1997/10/22
wednesday april 3 1985,1985/4/3
sunday may 17 1998,1998/5/17
saturday march 28 2009,2009/3/28
28 10 88,1988/10/28
tuesday november 10 2015,2015/11/10
03.09.78,1978/9/3
may 27 2010,2010/5/27
9-Oct-75,1975/10/9
sunday june 19 1977,1977/6/19
saturday may 28 1983,1983/5/28
monday august 16 1971,1971/8/16
wednesday april 10 2002,2002/4/10
12/17/70,1970/12/17
27-Jun-96,1996/6/27
may 19 1974,1974/5/19
friday october 19 2007,2007/10/19
11-Feb-77,1977/2/11
17-Oct-16,2016/10/17
17-Dec-99,1999/12/17
wednesday march 24 1971,1971/3/24
thursday january 16 1986,1986/1/16
5-Mar-03,2003/3/5
march 14 1980,1980/3/14
24-Dec-03,2003/12/24
15-May-73,1973/5/15
tuesday may 11 2010,2010/5/11
february 14 1985,1985/2/14
june 13 1986,1986/6/13
26-Feb-02,2002/2/26
aug 11 1987,1987/8/11
saturday july 24 2004,2004/7/24
friday june 1 2001,2001/6/1
october 28 1979,1979/10/28
thursday december 11 1980,1980/12/11
december 13 2010,2010/12/13
monday august 27 1973,1973/8/27
thursday june 29 2006,2006/6/29
25-Aug-76,1976/8/25
25.04.07,2007/4/25
march 23 2009,2009/3/23
wednesday september 3 1980,1980/9/3
august 2 1998,1998/8/2
thursday may 11 2000,2000/5/11
26-Dec-73,1973/12/26
monday november 8 1993,1993/11/8
thursday february 4 2016,2016/2/4
wednesday march 26 1986,1986/3/26
25-Sep-85,1985/9/25
friday november 16 1973,1973/11/16
7/24/72,1972/7/24
24-Feb-18,2018/2/24
saturday november 2 1974,1974/11/2
6-Jun-70,1970/6/6
march 20 2015,2015/3/20
march 16 1991,1991/3/16
21-Dec-93,1993/12/21
aug 11 1973,1973/8/11
saturday february 6 2010,2010/2/6
saturday march 28 2009,2009/3/28
10/24/95,1995/10/24
9-Aug-85,1985/8/9
friday june 28 1991,1991/6/28
saturday july 24 1971,1971/7/24
20-Oct-14,2014/10/20
27 12 13,2013/12/27
wednesday july 7 1976,1976/7/7
sunday december 16 2001,2001/12/16
17-Jul-85,1985/7/17
thursday february 28 1991,1991/2/28
31-Oct-17,2017/10/31
friday march 13 1998,1998/3/13
4-Jun-16,2016/6/4
tuesday august 18 2009,2009/8/18
10/21/79,1979/10/21
18-Sep-92,1992/9/18
30-Jul-90,1990/7/30
jul 10 1987,1987/7/10
monday november 19 2012,2012/11/19
wednesday september 2 2015,2015/9/2
sunday august 15 2010,2010/8/15
31-Jan-72,1972/1/31
12-Mar-72,1972/3/12
25-Dec-92,1992/12/25
oct 19 2003,2003/10/19
oct 14 2010,2010/10/14
thursday january 26 1989,1989/1/26
28 03 12,2012/3/28
january 21 2008,2008/1/21
monday march 14 2016,2016/3/14
12-May-13,2013/5/12
11.07.99,1999/7/11
saturday january 9 1993,1993/1/9
26-Feb-16,2016/2/26
sunday august 13 2006,2006/8/13
29 07 11,2011/7/29
saturday december 12 2015,2015/12/12
7-Mar-11,2011/3/7
thursday april 27 1989,1989/4/27
11-Jan-71,1971/1/11
29.12.06,2006/12/29
october 25 1994,1994/10/25
monday october 18 1982,1982/10/18
wednesday november 5 2003,2003/11/5
tuesday june 21 1988,1988/6/21
sunday june 9 2002,2002/6/9
friday may 17 1991,1991/5/17
may 22 1985,1985/5/22
wednesday september 30 1987,1987/9/30
21-May-13,2013/5/21
26-Aug-06,2006/8/26
may 13 2002,2002/5/13
26-Aug-97,1997/8/26
23-Sep-84,1984/9/23
thursday november 7 2013,2013/11/7
january 22 2004,2004/1/22
september 13 1993,1993/9/13
june 8 2011,2011/6/8
sunday december 7 1980,1980/12/7
thursday march 14 2013,2013/3/14
18-Feb-13,2013/2/18
friday december 23 1983,1983/12/23
friday march 24 2006,2006/3/24
aug 2 2009,2009/8/2
26 10 85,1985/10/26
november 8 1983,1983/11/8
sunday october 22 2006,2006/10/22
5-Jun-11,2011/6/5
september 25 1994,1994/9/25
6-Mar-76,1976/3/6
sunday september 18 2011,2011/9/18
21-Feb-95,1995/2/21
tuesday august 20 1985,1985/8/20
17-May-74,1974/5/17
saturday march 10 2001,2001/3/10
06.05.97,1997/5/6
friday may 19 2006,2006/5/19
monday march 12 1973,1973/3/12
october 7 1985,1985/10/7
saturday april 8 1989,1989/4/8
friday november 4 2016,2016/11/4
tuesday february 9 2010,2010/2/9
28-Dec-06,2006/12/28
may 24 2005,2005/5/24
tuesday march 3 1970,1970/3/3
21-Mar-14,2014/3/21
wednesday april 15 1987,1987/4/15
29-Jul-74,1974/7/29
7/9/76,1976/7/9
sunday september 11 2016,2016/9/11
november 17 1974,1974/11/17
5-Nov-08,2008/11/5
may 12 1996,1996/5/12
thursday june 28 2001,2001/6/28
26-Nov-94,1994/11/26
friday october 14 2005,2005/10/14
13.09.83,1983/9/13
29-Sep-73,1973/9/29
april 15 1979,1979/4/15
8-Nov-11,2011/11/8
25-Dec-80,1980/12/25
friday january 20 1984,1984/1/20
22-Jun-93,1993/6/22
12-Jan-83,1983/1/12
18-Mar-96,1996/3/18
30-Oct-02,2002/10/30
march 23 2000,2000/3/23
23.12.79,1979/12/23
monday october 15 1984,1984/10/15
6-Mar-10,2010/3/6
tuesday april 1 1980,1980/4/1
29-Nov-16,2016/11/29
february 1 1973,1973/2/1
thursday october 8 1992,1992/10/8
monday february 2 1970,1970/2/2
13-Jan-89,1989/1/13
17-Oct-00,2000/10/17
monday september 23 1974,1974/9/23
monday november 20 1995,1995/11/20
tuesday may 23 1995,1995/5/23
saturday april 20 2013,2013/4/20
2/15/13,2013/2/15
5 06 86,1986/6/5
monday october 18 1999,1999/10/18
april 4 1989,1989/4/4
23.04.80,1980/4/23
july 28 2007,2007/7/28
18-Aug-91,1991/8/18
november 4 2017,2017/11/4
friday august 17 1973,1973/8/17
sunday february 3 1980,1980/2/3
25-Jun-95,1995/6/25
february 7 1985,1985/2/7
30-Oct-77,1977/10/30
tuesday november 21 2000,2000/11/21
10-Jul-88,1988/7/10
february 26 2016,2016/2/26
september 16 1991,1991/9/16
18-Dec-75,1975/12/18
friday may 4 1979,1979/5/4
february 12 1991,1991/2/12
10-Dec-09,2009/12/10
january 25 1991,1991/1/25
9-Dec-05,2005/12/9
19-Apr-80,1980/4/19
july 1 2017,2017/7/1
august 28 1974,1974/8/28
thursday march 10 1988,1988/3/10
thursday october 30 1975,1975/10/30
13 02 83,1983/2/13
saturday may 26 2007,2007/5/26
monday january 18 2016,2016/1/18
friday june 16 1995,1995/6/16
december 5 1972,1972/12/5
11-Jul-71,1971/7/11
23-Mar-03,2003/3/23
10-Apr-07,2007/4/10
september 13 1986,1986/9/13
thursday february 28 1980,1980/2/28
monday april 7 1986,1986/4/7
feb 20 2005,2005/2/20
april 22 1996,1996/4/22
may 14 1981,1981/5/14
27-Aug-00,2000/8/27
9-May-01,2001/5/9
mar 27 1984,1984/3/27
saturday october 11 1975,1975/10/11
sunday september 15 1985,1985/9/15
2-Mar-75,1975/3/2
tuesday april 24 1973,1973/4/24
tuesday july 9 1991,1991/7/9
thursday july 16 1981,1981/7/16
friday june 29 1984,1984/6/29
13-Nov-83,1983/11/13
27 05 93,1993/5/27
feb 27 1997,1997/2/27
13-Oct-03,2003/10/13
20-Feb-80,1980/2/20
27 04 09,2009/4/27
24-Sep-97,1997/9/24
thursday september 17 1981,1981/9/17
thursday october 28 1999,1999/10/28
15-Jun-99,1999/6/15
14-Jan-89,1989/1/14
22-Jul-13,2013/7/22
16-Jul-76,1976/7/16
2-Sep-91,1991/9/2
27-Apr-05,2005/4/27
11-Feb-90,1990/2/11
14-Jan-83,1983/1/14
25-Feb-07,2007/2/25
10-Mar-04,2004/3/10
sunday may 16 1982,1982/5/16
sunday july 25 1999,1999/7/25
november 22 1974,1974/11/22
28 06 07,2007/6/28
11/4/94,1994/11/4
february 24 1971,1971/2/24
dec 3 1996,1996/12/3
10-May-90,1990/5/10
tuesday march 29 2011,2011/3/29
05.01.73,1973/1/5
tuesday february 28 1995,1995/2/28
8/13/16,2016/8/13
30-Apr-83,1983/4/30
april 5 2010,2010/4/5
saturday april 27 1985,1985/4/27
17-Apr-83,1983/4/17
saturday december 8 2001,2001/12/8
17 05 15,2015/5/17
tuesday september 3 2002,2002/9/3
friday november 27 1987,1987/11/27
saturday september 10 2011,2011/9/10
jul 10 2012,2012/7/10
11-May-10,2010/5/11
24-Oct-77,1977/10/24
october 27 1979,1979/10/27
12-Nov-14,2014/11/12
26.08.01,2001/8/26
december 19 2012,2012/12/19
thursday december 26 1991,1991/12/26
july 22 1974,1974/7/22
saturday january 6 2018,2018/1/6
september 7 2007,2007/9/7
27-Oct-91,1991/10/27
17-Jan-83,1983/1/17
september 11 1970,1970/9/11
thursday september 14 2006,2006/9/14
16-Jul-85,1985/7/16
friday march 31 2006,2006/3/31
3-Jul-02,2002/7/3
december 2 1989,1989/12/2
thursday october 14 2010,2010/10/14
31-Jan-75,1975/1/31
wednesday june 17 1970,1970/6/17
2 07 94,1994/7/2
4-Jan-91,1991/1/4
7/29/92,1992/7/29
6-Jul-13,2013/7/6
friday april 2 1971,1971/4/2
sunday december 28 2014,2014/12/28
sunday april 1 2012,2012/4/1
june 2 2012,2012/6/2
11-Mar-07,2007/3/11
2005/7/4,2004/5/7
6/25/92,1992/6/25
23-Jul-91,1991/7/23
7-Nov-09,2009/11/7
thursday august 28 1986,1986/8/28
10.03.79,1979/3/10
tuesday july 6 1999,1999/7/6
19 10 76,1976/10/19
sunday july 30 1972,1972/7/30
saturday february 29 1992,1992/2/29
sunday december 30 1973,1973/12/30
saturday november 4 1989,1989/11/4
sunday june 15 1980,1980/6/15
monday december 11 1995,1995/12/11
29-Jul-99,1999/7/29
17-Apr-96,1996/4/17
monday august 16 1971,1971/8/16
wednesday january 11 1989,1989/1/11
8-Apr-72,1972/4/8
november 8 1974,1974/11/8
monday february 10 1997,1997/2/10
saturday july 6 1974,1974/7/6
10-Jun-97,1997/6/10
december 3 2008,2008/12/3
saturday january 26 1980,1980/1/26
saturday december 2 2017,2017/12/2
03.12.04,2004/12/3
friday february 2 2001,2001/2/2
thursday december 19 1996,1996/12/19
17-Jun-99,1999/6/17
12/2/71,1971/12/2
may 25 1998,1998/5/25
8-Apr-96,1996/4/8
7-Oct-81,1981/10/7
january 15 2010,2010/1/15
6-Jan-78,1978/1/6
may 12 2002,2002/5/12
monday february 20 1989,1989/2/20
7 01 86,1986/1/7
15 03 85,1985/3/15
saturday august 25 2007,2007/8/25
19-Jan-15,2015/1/19
sunday june 12 1983,1983/6/12
16-May-03,2003/5/16
tuesday september 26 1989,1989/9/26
saturday april 4 1970,1970/4/4
may 23 1974,1974/5/23
thursday september 19 1985,1985/9/19
15-Nov-13,2013/11/15
october 12 2010,2010/10/12
february 4 1990,1990/2/4
december 20 1995,1995/12/20
10/17/83,1983/10/17
25-Nov-71,1971/11/25
thursday may 18 1972,1972/5/18
june 28 2013,2013/6/28
10.10.76,1976/10/10
jul 10 2016,2016/7/10
monday december 1 2014,2014/12/1
december 14 2013,2013/12/14
monday january 12 2004,2004/1/12
4/22/16,2016/4/22
friday june 27 1986,1986/6/27
saturday june 28 2008,2008/6/28
may 12 2015,2015/5/12
12 07 83,1983/7/12
thursday january 5 1995,1995/1/5
march 24 1998,1998/3/24
wednesday january 18 2006,2006/1/18
21-Jul-91,1991/7/21
tuesday september 16 1986,1986/9/16
sunday september 23 1973,1973/9/23
29-May-07,2007/5/29
friday september 19 1986,1986/9/19
january 28 1989,1989/1/28
22 11 92,1992/11/22
tuesday april 22 2003,2003/4/22
april 22 1996,1996/4/22
wednesday july 24 2013,2013/7/24
nov 22 1981,1981/11/22
23-Mar-14,2014/3/23
15-Apr-74,1974/4/15
11 06 74,1974/6/11
saturday may 3 2003,2003/5/3
7-Oct-16,2016/10/7
17-Jun-10,2010/6/17
february 1 1970,1970/2/1
28-Aug-70,1970/8/28
february 3 1999,1999/2/3
friday october 8 2010,2010/10/8
monday january 15 1996,1996/1/15
july 27 2010,2010/7/27
aug 4 1986,1986/8/4
monday july 9 1990,1990/7/9
friday november 27 1998,1998/11/27
29-Jan-74,1974/1/29
thursday april 6 1978,1978/4/6
wednesday june 24 1981,1981/6/24
26 12 74,1974/12/26
4-Feb-99,1999/2/4
28.03.79,1979/3/28
27-Jan-11,2011/1/27
4-Apr-84,1984/4/4
friday october 7 1977,1977/10/7
monday july 10 1972,1972/7/10
wednesday december 15 2004,2004/12/15
tuesday february 24 1987,1987/2/24
3-Nov-74,1974/11/3
10.08.17,2017/8/10
4 01 02,2002/1/4
27 01 96,1996/1/27
may 26 2008,2008/5/26
5-Oct-08,2008/10/5
friday november 14 1986,1986/11/14
23-Aug-10,2010/8/23
saturday november 27 1982,1982/11/27
thursday may 20 2004,2004/5/20
tuesday march 10 1992,1992/3/10
july 18 2016,2016/7/18
14-Aug-84,1984/8/14
3-Apr-13,2013/4/3
24-Jul-72,1972/7/24
november 29 2003,2003/11/29
27.01.75,1975/1/27
monday july 14 2014,2014/7/14
30-Nov-94,1994/11/30
4-Jan-00,2000/1/4
february 13 2007,2007/2/13
13-Apr-93,1993/4/13
wednesday may 10 1989,1989/5/10
monday may 13 2002,2002/5/13
friday february 5 1999,1999/2/5
sunday april 11 1976,1976/4/11
october 5 1981,1981/10/5
17.12.05,2005/12/17
saturday june 10 2000,2000/6/10
sunday february 23 1992,1992/2/23
monday april 30 2012,2012/4/30
april 23 2009,2009/4/23
15-May-80,1980/5/15
4-Feb-74,1974/2/4
29 09 96,1996/9/29
18.11.84,1984/11/18
february 5 1975,1975/2/5
sunday january 20 1980,1980/1/20
28-Sep-04,2004/9/28
monday may 18 1970,1970/5/18
nov 16 2004,2004/11/16
10/15/11,2011/10/15
sunday july 15 2007,2007/7/15
tuesday may 7 1985,1985/5/7
june 5 1971,1971/6/5
monday october 26 1992,1992/10/26
saturday may 29 2010,2010/5/29
11/22/74,1974/11/22
11-May-82,1982/5/11
31-Mar-08,2008/3/31
12-Apr-10,2010/4/12
2 01 95,1995/1/2
2 04 89,1989/4/2
thursday july 17 1975,1975/7/17
friday august 9 2002,2002/8/9
26-May-08,2008/5/26
tuesday october 14 2014,2014/10/14
thursday october 31 1985,1985/10/31
november 24 1981,1981/11/24
5-May-73,1973/5/5
wednesday october 17 1984,1984/10/17
april 12 1974,1974/4/12
27-Mar-10,2010/3/27
24-Apr-00,2000/4/24
monday june 18 1979,1979/6/18
4/13/95,1995/4/13
tuesday may 11 1976,1976/5/11
2-Nov-16,2016/11/2
5 04 87,1987/4/5
friday september 14 2007,2007/9/14
saturday april 24 1982,1982/4/24
july 31 1979,1979/7/31
thursday december 28 2017,2017/12/28
28-Mar-14,2014/3/28
october 10 1976,1976/10/10
15-Nov-79,1979/11/15
thursday july 10 2008,2008/7/10
4-Mar-84,1984/3/4
feb 27 1978,1978/2/27
17-Mar-15,2015/3/17
thursday november 17 1983,1983/11/17
saturday may 26 2007,2007/5/26
08.05.78,1978/5/8
july 20 1976,1976/7/20
28-Aug-79,1979/8/28
tuesday december 13 1988,1988/12/13
1-Sep-88,1988/9/1
tuesday january 2 1996,1996/1/2
7-Oct-14,2014/10/7
dec 4 2006,2006/12/4
april 9 1972,1972/4/9
friday november 4 2011,2011/11/4
tuesday june 17 1980,1980/6/17
sunday may 10 1998,1998/5/10
saturday december 8 1979,1979/12/8
3-Sep-08,2008/9/3
4-Oct-95,1995/10/4
friday march 21 1997,1997/3/21
22-Mar-14,2014/3/22
april 1 1984,1984/4/1
sunday february 16 2014,2014/2/16
26-Jun-07,2007/6/26
wednesday march 30 1983,1983/3/30
jul 9 1993,1993/7/9
21-Feb-92,1992/2/21
19-Jun-78,1978/6/19
tuesday september 6 1988,1988/9/6
20-Mar-91,1991/3/20
friday may 27 1988,1988/5/27
friday april 5 1991,1991/4/5
march 6 2006,2006/3/6
22-Jun-00,2000/6/22
tuesday november 22 1983,1983/11/22
9-Apr-75,1975/4/9
4-Apr-97,1997/4/4
thursday may 7 1992,1992/5/7
jun 25 2000,2000/6/25
tuesday july 5 1977,1977/7/5
tuesday september 11 1984,1984/9/11
february 18 1998,1998/2/18
3-Oct-00,2000/10/3
thursday march 30 1972,1972/3/30
monday june 4 1990,1990/6/4
monday december 26 2011,2011/12/26
friday january 7 1972,1972/1/7
may 7 2003,2003/5/7
8/2/91,1991/8/2
feb 18 1980,1980/2/18
march 23 1974,1974/3/23
30 06 05,2005/6/30
thursday june 18 2009,2009/6/18
26-Jan-13,2013/1/26
wednesday march 22 1989,1989/3/22
24-Jul-85,1985/7/24
december 23 1975,1975/12/23
13-Feb-72,1972/2/13
27 11 12,2012/11/27
2011/9/16,2016/11/9
saturday january 3 1981,1981/1/3
wednesday september 21 1988,1988/9/21
13 11 76,1976/11/13
friday march 7 2014,2014/3/7
8-Apr-78,1978/4/8
5-Jan-95,1995/1/5
14.08.13,2013/8/14
monday october 6 2008,2008/10/6
february 15 2015,2015/2/15
20-Feb-89,1989/2/20
apr 25 2009,2009/4/25
september 10 1987,1987/9/10
sunday june 18 1995,1995/6/18
wednesday december 7 1994,1994/12/7
august 23 2017,2017/8/23
18-Jul-04,2004/7/18
20-Dec-78,1978/12/20
friday may 19 2000,2000/5/19
november 28 2011,2011/11/28
saturday october 13 2001,2001/10/13
january 10 1975,1975/1/10
sunday june 5 2005,2005/6/5
wednesday august 9 2006,2006/8/9
wednesday june 15 1977,1977/6/15
march 3 1997,1997/3/3
4-Aug-82,1982/8/4
sunday may 31 1970,1970/5/31
sunday may 4 1986,1986/5/4
5/30/01,2001/5/30
14-Mar-78,1978/3/14
june 15 1992,1992/6/15
1/26/87,1987/1/26
october 16 2011,2011/10/16
february 27 1997,1997/2/27
saturday july 6 1996,1996/7/6
1/24/09,2009/1/24
26-Sep-92,1992/9/26
monday may 30 2016,2016/5/30
wednesday october 1 2014,2014/10/1
5-Apr-86,1986/4/5
saturday november 26 2016,2016/11/26
tuesday december 27 2005,2005/12/27
july 10 1998,1998/7/10
2003/5/2,2002/3/5
tuesday december 4 1990,1990/12/4
11-Mar-00,2000/3/11
september 22 2002,2002/9/22
5-Oct-06,2006/10/5
friday september 8 1995,1995/9/8
1/6/92,1992/1/6
9-Jun-00,2000/6/9
thursday august 7 2014,2014/8/7
22.09.82,1982/9/22
22-Jul-11,2011/7/22
tuesday april 8 2014,2014/4/8
thursday march 19 1981,1981/3/19
6 06 82,1982/6/6
2010/11/1,2001/10/11
30-Oct-86,1986/10/30
10-Feb-06,2006/2/10
friday july 12 1974,1974/7/12
sunday march 13 1988,1988/3/13
february 3 2006,2006/2/3
april 25 1988,1988/4/25
26-Oct-09,2009/10/26
wednesday december 19 1979,1979/12/19
wednesday june 2 1971,1971/6/2
7/3/78,1978/7/3
wednesday march 30 1977,1977/3/30
thursday september 11 1997,1997/9/11
may 23 1986,1986/5/23
thursday august 7 2014,2014/8/7
20-Jan-85,1985/1/20
sunday december 18 1988,1988/12/18
24-May-78,1978/5/24
31.03.83,1983/3/31
28-Oct-14,2014/10/28
march 25 1993,1993/3/25
march 13 2011,2011/3/13
23-Dec-06,2006/12/23
thursday august 5 2010,2010/8/5
thursday february 2 2012,2012/2/2
sunday february 22 1970,1970/2/22
tuesday february 23 1993,1993/2/23
16-Feb-03,2003/2/16
21-May-97,1997/5/21
monday november 21 2011,2011/11/21
18-Jan-00,2000/1/18
february 24 1986,1986/2/24
11.06.75,1975/6/11
22-Dec-87,1987/12/22
monday may 14 2001,2001/5/14
jul 28 1976,1976/7/28
21-Oct-86,1986/10/21
monday february 7 1994,1994/2/7
thursday september 24 1987,1987/9/24
monday september 16 2013,2013/9/16
sunday august 22 1993,1993/8/22
22 07 98,1998/7/22
30-Jan-14,2014/1/30
9-Aug-08,2008/8/9
wednesday february 17 1999,1999/2/17
10/22/05,2005/10/22
9-Jan-04,2004/1/9
monday june 13 1988,1988/6/13
8-Apr-79,1979/4/8
wednesday november 23 2011,2011/11/23
june 8 2009,2009/6/8
saturday december 14 2013,2013/12/14
monday october 12 2015,2015/10/12
17 03 82,1982/3/17
9-Sep-16,2016/9/9
1 08 08,2008/8/1
22-Sep-11,2011/9/22
30-Oct-82,1982/10/30
jul 31 1991,1991/7/31
october 21 1991,1991/10/21
tuesday february 26 2008,2008/2/26
10-Mar-99,1999/3/10
thursday march 26 1970,1970/3/26
16-Sep-00,2000/9/16
wednesday august 26 1970,1970/8/26
14-Jul-02,2002/7/14
monday january 31 2005,2005/1/31
11-Aug-05,2005/8/11
19-Dec-96,1996/12/19
22.09.06,2006/9/22
11-May-12,2012/5/11
21-Apr-89,1989/4/21
4-Nov-76,1976/11/4
thursday june 25 1981,1981/6/25
mar 4 2017,2017/3/4
saturday may 13 1978,1978/5/13
thursday february 10 1983,1983/2/10
14.09.72,1972/9/14
thursday december 4 1980,1980/12/4
19-Dec-83,1983/12/19
monday may 23 1988,1988/5/23
28-Feb-12,2012/2/28
2010/8/9,2009/10/8
8-Jan-14,2014/1/8
31-Mar-71,1971/3/31
5-Feb-95,1995/2/5
22-Jul-92,1992/7/22
february 23 1992,1992/2/23
6-Jun-97,1997/6/6
july 31 1976,1976/7/31
thursday july 1 1999,1999/7/1
26-Jan-97,1997/1/26
thursday august 27 1987,1987/8/27
3-Nov-89,1989/11/3
12-Nov-75,1975/11/12
april 10 2006,2006/4/10
12-Sep-07,2007/9/12
10-Jan-17,2017/1/10
27-Aug-17,2017/8/27
friday january 12 1973,1973/1/12
17-Oct-83,1983/10/17
saturday march 19 1983,1983/3/19
monday april 17 1972,1972/4/17
january 18 2015,2015/1/18
13-Apr-76,1976/4/13
20.03.80,1980/3/20
2-May-77,1977/5/2
saturday june 27 2009,2009/6/27
tuesday september 14 1999,1999/9/14
4-Feb-99,1999/2/4
16-Aug-12,2012/8/16
monday february 9 2015,2015/2/9
saturday february 3 2007,2007/2/3
sunday october 10 1971,1971/10/10
april 24 2005,2005/4/24
19-Jan-91,1991/1/19
jul 20 1987,1987/7/20
4/26/07,2007/4/26
5-Sep-76,1976/9/5
saturday december 4 1971,1971/12/4
friday december 1 2000,2000/12/1
21 09 07,2007/9/21
saturday october 31 2009,2009/10/31
3/21/89,1989/3/21
8 08 08,2008/8/8
december 10 2005,2005/12/10
13.12.06,2006/12/13
25.11.98,1998/11/25
thursday february 21 2008,2008/2/21
thursday august 4 1977,1977/8/4
18-Jun-78,1978/6/18
saturday september 1 1984,1984/9/1
wednesday september 8 1971,1971/9/8
23-Feb-81,1981/2/23
sunday august 13 2017,2017/8/13
1-Sep-12,2012/9/1
thursday june 21 2007,2007/6/21
december 12 2004,2004/12/12
sunday april 26 1992,1992/4/26
monday december 24 1973,1973/12/24
feb 14 2006,2006/2/14
saturday november 24 2001,2001/11/24
thursday july 4 2013,2013/7/4
wednesday november 4 1998,1998/11/4
19 05 06,2006/5/19
sunday july 26 2009,2009/7/26
16-Nov-01,2001/11/16
mar 16 1970,1970/3/16
9-Aug-96,1996/8/9
wednesday october 2 2013,2013/10/2
28-Aug-74,1974/8/28
monday march 5 1973,1973/3/5
21.09.11,2011/9/21
15-Oct-17,2017/10/15
2-May-71,1971/5/2
11-Dec-87,1987/12/11
aug 28 1997,1997/8/28
wednesday june 1 2016,2016/6/1
19-Sep-00,2000/9/19
15-Jan-80,1980/1/15
21-Jan-17,2017/1/21
saturday april 30 1983,1983/4/30
25-Mar-04,2004/3/25
saturday october 28 1972,1972/10/28
october 1 2006,2006/10/1
15-Nov-02,2002/11/15
july 17 1997,1997/7/17
saturday october 21 2000,2000/10/21
february 14 1972,1972/2/14
30-Nov-91,1991/11/30
monday march 19 2007,2007/3/19
thursday august 23 1973,1973/8/23
september 30 1994,1994/9/30
1/1/84,1984/1/1
tuesday november 25 2014,2014/11/25
2-Mar-87,1987/3/2
sunday october 26 2014,2014/10/26
monday march 3 1975,1975/3/3
friday march 27 1981,1981/3/27
27-Jan-18,2018/1/27
february 22 2000,2000/2/22
thursday february 22 1979,1979/2/22
wednesday july 28 1993,1993/7/28
friday july 5 1985,1985/7/5
19-Feb-84,1984/2/19
5-Mar-03,2003/3/5
15-Oct-70,1970/10/15
wednesday february 25 1998,1998/2/25
saturday july 2 1977,1977/7/2
tuesday january 16 2007,2007/1/16
january 2 1989,1989/1/2
11/27/82,1982/11/27
30-Sep-00,2000/9/30
march 28 1982,1982/3/28
saturday december 12 2009,2009/12/12
5-Apr-88,1988/4/5
monday july 30 1973,1973/7/30
sunday july 6 2003,2003/7/6
wednesday march 13 1974,1974/3/13
saturday march 16 2013,2013/3/16
wednesday january 17 1996,1996/1/17
july 22 1988,1988/7/22
9 08 70,1970/8/9
wednesday august 24 1988,1988/8/24
26-Nov-05,2005/11/26
19 07 03,2003/7/19
thursday july 24 1997,1997/7/24
january 18 1973,1973/1/18
22-Oct-07,2007/10/22
nov 27 1983,1983/11/27
thursday december 20 1984,1984/12/20
october 18 1976,1976/10/18
april 10 2008,2008/4/10
january 8 2015,2015/1/8
sunday june 10 1973,1973/6/10
thursday june 7 1990,1990/6/7
tuesday april 27 2004,2004/4/27
wednesday march 26 1980,1980/3/26
sunday october 21 1979,1979/10/21
3-Jan-11,2011/1/3
december 31 1998,1998/12/31
25-Aug-73,1973/8/25
feb 24 1980,1980/2/24
saturday february 2 2002,2002/2/2
30-May-02,2002/5/30
wednesday february 23 1994,1994/2/23
december 5 2007,2007/12/5
21-Sep-95,1995/9/21
friday july 22 2016,2016/7/22
july 1 2006,2006/7/1
tuesday june 9 1992,1992/6/9
monday october 15 1979,1979/10/15
wednesday december 9 1987,1987/12/9
19-Nov-82,1982/11/19
oct 23 1989,1989/10/23
saturday september 9 1989,1989/9/9
02.06.81,1981/6/2
wednesday july 6 2005,2005/7/6
friday august 13 1971,1971/8/13
31.12.79,1979/12/31
friday april 7 1978,1978/4/7
friday may 18 1979,1979/5/18
friday june 26 1987,1987/6/26
sunday september 4 1983,1983/9/4
friday august 30 2013,2013/8/30
10/15/13,2013/10/15
friday october 15 1982,1982/10/15
29-Oct-79,1979/10/29
